height,width,num_inference_steps,execution_time
512,576,45,7.48844051361084
512,576,55,9.087241411209106
512,576,65,10.715630769729614
512,576,75,12.302895784378052
512,576,85,13.940552473068237
512,576,95,15.63097071647644
512,576,105,17.138431549072266
512,640,15,3.083242654800415
512,640,25,4.905763387680054
512,640,35,6.555917501449585
512,640,45,8.376693964004517
512,640,55,10.308572053909302
512,640,65,12.039215803146362
512,640,75,14.065672636032104
512,640,85,15.499091386795044
512,640,95,17.40647029876709
512,640,105,19.275333881378174
512,768,15,3.4660484790802
512,768,25,5.529726028442383
512,768,35,7.830672740936279
512,768,45,9.571423768997192
512,768,55,12.200866460800171
512,768,65,13.53488302230835
512,768,75,15.708035230636597
512,768,85,17.996021509170532
512,768,95,20.0715754032135
512,768,105,21.779443502426147
512,800,15,3.9650776386260986
512,800,25,6.3094353675842285
512,800,35,8.743108987808228
512,800,45,10.94617223739624
512,800,55,13.362622022628784
512,800,65,15.793883800506592
512,800,75,18.046570539474487
512,800,85,20.39722752571106
512,800,95,23.068798303604126
512,800,105,25.141777992248535
512,1024,15,5.140184640884399
512,1024,25,7.918421030044556
512,1024,35,10.912888288497925
512,1024,45,13.54575252532959
512,1024,55,16.66455841064453
512,1024,65,19.38274312019348
512,1024,75,22.168493270874023
512,1024,85,25.521059036254883
512,1024,95,27.958416223526
512,1024,105,31.289297103881836
512,1152,15,5.8704540729522705
512,1152,25,9.43904995918274
512,1152,35,12.789763450622559
512,1152,45,16.428839206695557
512,1152,55,19.965428352355957
512,1152,65,23.395752429962158
512,1152,75,27.108991146087646
512,1152,85,30.436476230621338
512,1152,95,33.845911264419556
512,1152,105,37.53927969932556
512,1280,15,6.745522499084473
512,1280,25,10.662058591842651
512,1280,35,14.625158309936523
512,1280,45,19.07774543762207
512,1280,55,22.746748685836792
512,1280,65,26.77934217453003
512,1280,75,30.761470079421997
512,1280,85,34.752665281295776
512,1280,95,38.65403604507446
512,1280,105,42.894856214523315
576,320,15,1.8609867095947266
576,320,25,3.024467706680298
576,320,35,4.082308053970337
576,320,45,5.172421455383301
576,320,55,6.314958333969116
576,320,65,7.4062135219573975
576,320,75,8.510017156600952
576,320,85,9.644661664962769
